TITLE = "FEHM V3.3.0lin 18-01-19 QA:NA  07/06/2018  10:13:46 # run.dat"
VARIABLES = "node" "Liquid Pressure (MPa)" "Temperature (<sup>o</sup>C)"
ZONE T ="Simulation time   0.00000000    days"
 0000000608    12.8315398    52.7000000
 0000000609    12.8315373    52.7000000
 0000000610    12.8315364    52.7000000
 0000000611    12.8315436    52.7000000
 0000000612    12.8315903    52.2246737
 0000000613    12.8315905    52.2246653
 0000000614    12.8315438    52.7000000
 0000000615    12.8315366    52.7000000
 0000000616    12.8315375    52.7000000
 0000000617    12.8315400    52.7000000
 0000000618    12.8315424    52.7000000
 0000000619    12.8315442    52.7000000
 0000000620    12.8315454    52.7000000
 0000000621    12.8315463    52.7000000
 0000000622    12.8315469    52.7000000
 0000000623    12.8315473    52.7000000
 0000000624    12.8315475    52.7000000
 0000000625    12.8315477    52.7000000
 0000000626    12.8315478    52.7000000
 0000000627    12.8315479    52.7000000
 0000000628    12.8315479    52.7000000
 0000000629    12.8315480    52.7000000
 0000000630    12.8315480    52.7000000
 0000000631    12.8315480    52.7000000
 0000000632    12.8315480    52.7000000
 0000000633    12.8315480    52.7000000
 0000000634    12.8315480    52.7000000
 0000000635    12.8315480    52.7000000
 0000000636    12.8315480    52.7000000
 0000000637    12.8315480    52.7000000
 0000000638    12.8315480    52.7000000
 0000000639    12.8315480    52.7000000
 0000000640    12.8315480    52.7000000
 0000000641    12.8315480    52.7000000
 0000000642    12.8315480    52.7000000
 0000000643    12.8315480    52.7000000
 0000000644    12.8315480    52.7000000
 0000000645    12.8315480    52.7000000
 0000000646    12.8315480    52.7000000
 0000000647    12.8315480    52.7000000
 0000000648    12.8315479    52.7000000
 0000000649    12.8315479    52.7000000
 0000000650    12.8315478    52.7000000
 0000000651    12.8315477    52.7000000
 0000000652    12.8315475    52.7000000
 0000000653    12.8315473    52.7000000
 0000000654    12.8315469    52.7000000
 0000000655    12.8315463    52.7000000
 0000000656    12.8315454    52.7000000
 0000000657    12.8315442    52.7000000
 0000000658    12.8315424    52.7000000
 0000000659    12.8315400    52.7000000
 0000000660    12.8315375    52.7000000
 0000000661    12.8315366    52.7000000
 0000000662    12.8315438    52.7000000
 0000000663    12.8315905    52.2246653
 0000000664    12.8315906    52.2246613
 0000000665    12.8315439    52.7000000
 0000000666    12.8315367    52.7000000
 0000000667    12.8315376    52.7000000
 0000000668    12.8315401    52.7000000
 0000000669    12.8315425    52.7000000
 0000000670    12.8315443    52.7000000
 0000000671    12.8315455    52.7000000
 0000000672    12.8315464    52.7000000
 0000000673    12.8315470    52.7000000
 0000000674    12.8315474    52.7000000
 0000000675    12.8315476    52.7000000
 0000000676    12.8315478    52.7000000
 0000000677    12.8315479    52.7000000
 0000000678    12.8315480    52.7000000
 0000000679    12.8315481    52.7000000
 0000000680    12.8315481    52.7000000
 0000000681    12.8315481    52.7000000
 0000000682    12.8315481    52.7000000
 0000000683    12.8315481    52.7000000
 0000000684    12.8315481    52.7000000
 0000000685    12.8315482    52.7000000
